#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/311/hip2&-out=HIP,RArad,DErad,pmRA,pmDE,Hpmag&-out.max=15000&Hpmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1311
#Name: I/311
#Title: Hipparcos, the New Reduction (van Leeuwen, 2007)
#INFO	ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/311	    IVOID of underlying data collection
#INFO	creator=van Leeuwen F.	    First author or institution
#INFO	cites=bibcode:2007A&A...474..653V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/311	    Dataset landing page
#INFO	publication_date=2017-12-22	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_311_hip2:
#Name: I/311/hip2
#Title: The Astrometric Catalogue
#Column	HIP	(I6)	Hipparcos identifier	[ucd=meta.id;meta.main]
#Column	RArad	(F12.8)	Right Ascension in ICRS, Ep=1991.25	[ucd=pos.eq.ra;meta.main]
#Column	DErad	(F12.8)	Declination in ICRS, Ep=1991.25	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Hpmag	(F7.4)	Hipparcos magnitude	[ucd=phot.mag;em.opt.V]
HIP	RArad	DErad	pmRA	pmDE	Hpmag
 15383	049.59282807	-00.93014132	  253.18	  -60.32	 5.5554
 15404	049.65717015	+50.22223545	   22.41	  -24.58	 5.1430
 15411	049.67113506	-18.55964001	  125.78	  -62.51	 5.8156
 15416	049.68259956	+34.22267360	    2.75	   -8.87	 4.9927
 15444	049.78174375	+50.09502768	   22.46	  -24.80	 5.0299
 15457	049.83974565	+03.36997079	  269.30	   93.75	 4.9768
 15474	049.87904019	-21.75794250	   51.89	   32.92	 3.7303
 15479	049.89542986	-24.12284661	    5.47	  -23.75	 5.7006
 15510	049.97176989	-43.07154908	 3038.34	  726.58	 4.3950
 15514	049.98255380	+27.07130710	  -25.76	  -72.94	 6.0671
 15520	049.99690314	+65.65232711	   11.25	  -14.56	 4.6984
 15547	050.08158458	+77.73490163	   64.60	  -65.31	 5.5101
 15549	050.08485940	+29.04849808	   -7.71	  -16.91	 4.5975
 15557	050.10652694	+25.66296642	   10.18	  -93.44	 6.3041
 15619	050.27821097	+03.67568171	   55.04	  -25.12	 5.8500
 15627	050.30671247	+21.14714049	   20.98	  -21.80	 5.2753
 15643	050.35010648	-23.63508949	  -26.51	  -17.91	 5.6537
 15648	050.36086272	+43.32965168	  -60.41	   -0.81	 4.9814
 15669	050.46821629	+49.07105906	  180.74	  -64.11	 6.0459
 15696	050.54954369	+27.60757647	    4.60	  -11.62	 5.7153
 15700	050.56784362	-25.58780419	    4.77	   -0.30	 6.3717
 15737	050.68863434	+20.74210521	  -51.59	  -16.06	 5.2483
 15770	050.80490208	+49.21333017	   21.40	  -25.84	 5.3010
 15776	050.82374837	-07.79356453	    2.20	 -219.27	 6.3388
 15840	051.00948334	-69.62465085	   21.89	   19.16	 6.2368
 15850	051.04214337	+12.62964261	   26.17	  -20.20	 6.1764
 15861	051.07693647	+24.72418778	   15.22	  -52.36	 5.6727
 15863	051.08061917	+49.86124305	   23.75	  -26.23	 1.8972
 15870	051.10881258	+20.80351316	    0.28	  -10.35	 6.0709
 15876	051.12366323	+33.53601767	   31.97	  -23.05	 5.7849
 15890	051.16900557	+64.58599576	   -2.86	   -0.87	 5.1901
 15900	051.20348981	+09.02906438	  -67.04	  -78.04	 3.7700
 15968	051.40105627	-69.33659423	   -1.05	   65.09	 6.0535
 15987	051.48256426	-35.92087382	   36.30	   -4.38	 6.4279
 15988	051.48900343	+49.12082274	   22.85	  -27.96	 6.0668
 16015	051.54903786	-41.63700530	   20.28	   26.82	 6.3582
 16029	051.59383215	-27.31760930	    7.35	   52.83	 6.0934
 16083	051.79216991	+09.73277231	   50.58	  -39.54	 3.7082
 16095	051.82779611	+12.73530695	   10.36	   -7.56	 6.2940
 16112	051.88902373	-35.68133908	   76.79	    6.06	 5.8699
 16142	052.00395007	-11.28648698	   -0.77	  -44.84	 5.9077
 16147	052.01270900	+49.06293154	   22.59	  -26.85	 4.9620
 16168	052.08616682	+33.80769728	   28.49	  -57.51	 5.7403
 16181	052.11069649	+22.80427696	    2.12	 -110.85	 6.1961
 16210	052.21794555	+49.84844593	   22.10	  -26.46	 5.5651
 16228	052.26722736	+59.94033468	   -2.24	   -0.90	 4.3087
 16244	052.34179270	+49.50901930	   22.20	  -29.49	 4.6446
 16245	052.34244324	-62.93843427	  382.84	  373.05	 4.8043
 16252	052.35943434	+46.93793760	   22.80	  -29.00	 6.2593
 16263	052.40009396	-12.67474871	    7.93	    4.74	 5.6327
 16266	052.41328220	-06.80423912	  -84.25	  -90.06	 6.1572
 16281	052.47810894	+58.87875252	   -1.79	   -1.09	 4.6710
 16285	052.47997846	-42.63425273	  -59.76	   -1.52	 5.8220
 16290	052.49552386	-78.35178502	  -11.14	  -27.14	 5.8435
 16292	052.50096008	+55.45183686	  -46.08	  -11.07	 5.1140
 16303	052.54554937	+59.36606893	   13.30	  -48.66	 6.1803
 16310	052.55661500	-41.36951782	   -9.71	 -172.41	 6.2262
 16319	052.58078886	+71.86389731	    4.02	    0.99	 6.3865
 16322	052.60198291	+11.33648100	  -14.68	  -16.46	 5.1320
 16335	052.64367644	+47.99517197	    3.56	   18.48	 4.4945
 16339	052.65374332	-47.37517423	   64.21	   19.89	 6.0248
 16340	052.65388427	+48.10365483	   22.78	  -23.76	 5.8208
 16341	052.65437457	-05.07516319	   14.23	    7.27	 4.7100
 16358	052.68914585	+06.18874369	   41.75	  -16.77	 6.0913
 16368	052.71534387	-66.48971822	   16.98	    1.42	 5.7993
 16369	052.71819580	+12.93668147	   18.25	   -1.92	 4.3077
 16424	052.87230322	+49.20977388	  -14.85	   -1.57	 6.3194
 16447	052.95433012	+49.40109544	   -1.65	   -1.14	 6.4444
 16449	052.97338362	-25.61411285	   53.90	  -14.90	 6.4293
 16470	053.03575435	+48.02353384	   24.45	  -24.03	 5.4409
 16489	053.08214714	+84.91136335	   62.10	 -134.17	 5.7765
 16499	053.10960037	+46.05704306	  -52.11	  -75.26	 5.3971
 16509	053.14465222	-50.37884849	   93.66	   83.71	 5.8350
 16511	053.14970742	+09.37355757	   31.25	  -48.54	 5.7437
 16516	053.16240392	+44.85577491	    0.48	   -6.00	 6.4292
 16518	053.16675727	+35.46172046	   -8.28	    3.44	 5.8846
 16537	053.23509022	-09.45830604	 -975.17	   19.49	 3.8652
 16591	053.39592610	+39.89959025	   14.80	  -45.63	 5.8387
 16599	053.41292452	+54.97486065	  -41.32	   -0.54	 6.0225
 16602	053.42180576	+57.86863583	    8.83	   37.12	 6.4873
 16611	053.44686636	-21.63281573	   44.94	  -28.16	 4.2359
 16628	053.48672238	-31.08030031	  -35.44	   78.12	 6.3098
 16641	053.53466827	+17.83358313	   95.31	 -308.87	 6.3100
 16664	053.61093199	+24.46447553	    5.24	  -32.29	 5.9961
 16677	053.65607988	-09.86827363	   21.72	    5.40	 6.2560
 16780	053.99021703	-11.19397794	   23.79	   80.08	 5.7329
 16803	054.07246799	-17.46704075	   32.37	  -10.91	 5.2080
 16826	054.12233371	+48.19270056	   22.55	  -27.78	 4.2925
 16827	054.12576732	-78.32308908	  -14.12	    6.67	 6.4596
 16846	054.19711968	+00.58815495	  -31.45	 -162.87	 5.9609
 16852	054.21882882	+00.40283325	 -232.60	 -481.92	 4.4104
 16870	054.27365866	-40.27451059	    4.96	  -14.44	 4.7322
 16924	054.44924324	+15.43062312	   21.67	  -27.73	 6.4615
 16938	054.50069327	+42.58290295	   19.28	  -23.21	 6.3944
 16974	054.58210338	+56.93279795	   28.82	  -34.11	 6.2606
 16989	054.62189256	-07.39170958	   -2.06	  -62.60	 6.0220
 17007	054.69857250	-27.94311703	   21.53	   26.27	 6.0068
 17027	054.75469076	-05.62570672	  -15.16	 -208.05	 6.1133
 17056	054.85456367	+75.73960166	   -5.99	    7.99	 6.4153
 17057	054.85592632	-10.43702552	  -26.75	 -103.00	 6.3491
 17058	054.85719829	+16.53676584	   43.72	  -31.45	 6.3456
 17086	054.90980850	-03.39284249	  -14.40	  -67.97	 6.3860
 17103	054.96309863	+03.05684305	  -36.52	    8.04	 5.7140
 17120	054.99812276	-01.12121124	   33.86	   -6.05	 6.2833
 17167	055.15972139	-05.21069752	    1.09	   -5.19	 5.4825
 17181	055.19293083	+25.32952648	    9.83	  -14.86	 6.1465
 17203	055.28267189	+37.58026413	   22.03	  -27.45	 5.5312
 17296	055.53894605	+63.21675888	  -17.27	   18.94	 5.0956
 17304	055.56207990	-31.93839578	    4.80	   13.64	 4.9335
 17309	055.57893699	+19.70028618	    3.58	  -12.53	 5.6842
 17313	055.59434853	+33.96503918	    2.71	   -5.91	 4.9631
 17328	055.63620896	-85.26202262	   21.77	   24.65	 6.4042
 17342	055.67805938	+59.96938460	   -0.24	    3.73	 5.8393
 17351	055.70884174	-37.31334483	  -91.00	  -70.67	 4.7559
 17358	055.73117520	+47.78765317	   25.58	  -43.06	 2.9703
 17378	055.81231675	-09.76519869	  -93.16	  743.64	 3.6796
 17395	055.89099312	-10.48561208	   -7.76	  -17.76	 5.6598
 17408	055.94642323	+19.66517000	  116.35	  -54.98	 6.2980
 17437	056.02678062	+48.52368521	    0.29	  -11.37	 6.1821
 17440	056.04814575	-64.80709420	  307.13	   77.50	 4.0019
 17448	056.07969333	+32.28827337	    8.18	  -10.43	 3.8583
 17453	056.11744588	+20.92877021	   26.66	  -13.91	 6.1031
 17457	056.12711660	-01.16307843	    3.49	   -7.01	 5.2154
 17460	056.13082026	+36.46020380	   48.08	  -42.48	 5.6291
 17464	056.14110236	-54.27418639	   25.11	   65.38	 6.4583
 17475	056.17046096	+46.09987074	   -1.41	  -25.11	 6.1739
 17489	056.20084225	+24.28957701	   20.38	  -44.81	 5.4507
 17499	056.21884818	+24.11344840	   20.84	  -46.06	 3.6857
 17506	056.23526064	-00.29671541	   60.23	   -3.27	 5.7008
 17527	056.29052848	+24.83937328	   20.36	  -46.52	 5.6447
 17529	056.29851451	+42.57854465	  -14.45	    2.53	 3.8717
 17531	056.30200903	+24.46737906	   21.24	  -40.56	 4.2724
 17534	056.31616356	-47.35945428	   -4.05	   -8.01	 5.8837
 17543	056.34873366	-71.65823644	   20.37	   42.53	 6.2233
 17563	056.41846016	+06.05002902	   22.41	  -14.79	 5.3139
 17573	056.45663811	+24.36785797	   20.95	  -45.98	 3.8591
 17579	056.47693310	+24.55462133	   20.18	  -44.87	 5.7675
 17584	056.49685466	+45.68194410	   17.82	  -19.55	 5.6401
 17585	056.50339874	+67.20188092	   82.54	 -113.77	 5.8718
 17587	056.50971988	+63.34506762	   -1.46	   -9.09	 4.9220
 17588	056.51203202	+24.52800593	   19.88	  -44.37	 6.4389
 17593	056.53542672	-12.10173525	   55.98	   59.28	 4.5239
 17595	056.53901654	+06.80365526	   -0.70	  -54.65	 6.0784
 17608	056.58150148	+23.94846199	   21.13	  -43.65	 4.1534
 17618	056.61426571	-29.33816599	    6.87	    4.06	 5.9555
 17651	056.71245432	-23.24843785	 -158.84	 -528.95	 4.3164
 17678	056.80929757	-74.23924238	   50.85	  114.74	 3.3420
 17702	056.87110081	+24.10524179	   19.34	  -43.67	 2.8480
 17707	056.88383262	+55.92204899	   27.17	  -36.54	 6.0970
 17717	056.91508461	-23.87479579	   47.46	   49.10	 5.2659
 17732	056.95432043	+32.19549838	  -23.47	  -35.23	 6.3607
 17734	056.95668278	-36.10582933	   13.55	   17.82	 6.1795
 17738	056.98342918	-30.16732061	   26.35	 -231.31	 5.6816
 17771	057.06771695	+11.14336667	   26.00	  -28.84	 5.0310
 17772	057.07533702	+50.73677196	   -6.38	   -1.53	 6.2017
 17776	057.08668458	+23.42136364	   17.99	  -46.57	 5.4355
 17797	057.14926008	-37.62012831	   74.44	   -9.09	 4.2697
 17798	057.14884609	-20.90293621	  -31.66	  -16.81	 5.9238
 17805	057.16215112	+00.22787116	   64.25	   -5.60	 6.0798
 17846	057.28384513	+43.96302370	   -5.95	   30.31	 6.0395
 17847	057.29054699	+24.05352413	   17.70	  -44.18	 3.6084
 17851	057.29668416	+24.13682556	   18.07	  -47.20	 5.0295
 17854	057.30708663	+70.87120239	   20.91	  -63.35	 5.4402
 17858	057.33218995	+57.11832755	   29.26	  -24.09	 6.4881
 17874	057.36367012	-36.20011256	  -49.18	  -57.01	 4.3280
 17884	057.38035650	+65.52600622	   -4.03	  -13.82	 4.3978
 17886	057.38626037	+33.09138143	  -18.63	   -1.47	 5.1684
 17891	057.40258876	+63.29710443	  -18.40	  -57.57	 5.8839
 17900	057.43133303	+23.71196321	   16.73	  -44.82	 6.1646
 17921	057.47940817	+22.24426274	   24.31	  -44.46	 6.0720
 17932	057.51854771	+44.96792115	  -36.95	  -25.98	 5.7960
 17954	057.57881127	+25.57964845	   41.00	 -112.74	 5.3049
 17959	057.58948251	+71.33236762	   18.17	  -42.85	 4.6368
 18033	057.81607299	+13.04613150	   20.95	  -22.45	 6.2817
 18067	057.92395983	+68.50753649	   16.04	  -21.04	 6.2948
 18081	057.97381803	+34.35912926	    5.62	   -3.65	 5.7777
 18089	058.00093489	+06.53491384	    9.25	   -3.59	 5.6804
 18094	058.01855888	+31.16866596	  -12.75	  -36.56	 6.2856
 18141	058.17355847	-05.36124178	    5.09	   -8.58	 5.4539
 18170	058.29149333	+17.32715593	  143.76	  -29.75	 6.0494
 18173	058.30386773	-18.43444970	    3.22	    1.08	 6.3567
 18199	058.38876690	-46.89358822	   16.87	  -37.97	 6.0935
 18201	058.39359931	+25.68296577	   22.57	  -35.77	 6.3898
 18212	058.41112554	+48.65056841	   37.48	  -30.82	 5.9246
 18213	058.41218402	-34.73229511	   32.21	   -0.83	 5.0631
 18216	058.42784564	-24.61221260	   31.28	   -7.49	 4.5955
 18217	058.42996856	+57.97536964	   85.27	  -93.59	 5.8504
 18246	058.53299380	+31.88365779	    5.77	   -9.92	 2.8980
 18255	058.57286089	-02.95473374	   26.00	   -0.23	 4.6015
 18262	058.59657660	-40.35702910	  -22.54	    8.06	 5.8218
 18339	058.81739062	-12.09905103	  -76.77	  -20.87	 6.0857
 18396	058.99232449	+47.87147029	   18.99	  -19.96	 5.3690
 18401	059.01624148	-63.46384650	   68.40	   51.88	 6.3030
 18428	059.11523890	-13.59754104	   11.32	    2.69	 6.4454
 18434	059.11953373	+35.08090819	    3.96	   -3.95	 5.4788
 18438	059.12638982	+71.82163047	  -52.73	   -8.30	 6.3923
 18453	059.15181657	+50.69569131	   91.99	 -128.47	 5.3779
 18455	059.15792310	-09.75085744	   52.14	    6.44	 6.2577
 18471	059.21680302	+22.47824998	   69.82	 -114.36	 5.7033
 18481	059.25706794	+06.04013199	   37.31	  -66.64	 6.1163
 18485	059.26584151	+23.17559120	    8.33	  -17.83	 6.0618
 18488	059.28455249	+61.10891706	   -3.25	  -13.28	 5.1300
 18505	059.35598132	+63.07224922	    6.43	    5.37	 4.9464
 18508	059.35993783	+24.46195533	   -3.67	   -6.40	 6.3486
 18532	059.46342225	+40.01027312	   14.06	  -23.78	 2.8348
 18543	059.50720838	-13.50824446	   61.57	 -113.11	 3.0703
 18565	059.62139194	+38.84034943	   40.35	  -39.05	 6.4841
 18592	059.67864151	-57.10238795	   25.45	   10.33	 6.1514
 18597	059.68640628	-61.40015061	    9.80	  -14.30	 4.6497
 18606	059.71842213	-05.46952372	  -46.53	 -173.72	 5.9978
 18614	059.74124870	+35.79102722	    3.62	    1.74	 4.0307
 18647	059.87555246	-12.57433227	   -1.20	  -37.96	 5.7362
 18658	059.91839558	+10.33041045	  140.62	   -6.48	 6.4459
 18673	059.98115029	-24.01625667	   12.12	   16.48	 4.5935
 18717	060.15369366	+17.29673450	    1.22	  -30.97	 6.3385
 18723	060.16926437	-30.49070963	   47.30	    5.62	 5.9450
 18724	060.17008546	+12.49037559	   -8.02	  -14.42	 3.3774
 18735	060.20285807	+18.19406873	  129.15	  -28.79	 5.9602
 18744	060.22418673	-62.15936899	    3.03	   34.67	 4.5138
 18769	060.31181370	+36.98948412	   -4.76	   -2.12	 6.4000
 18772	060.32529607	-61.07905151	   66.79	   94.80	 5.1069
 18788	060.38347482	-01.54962627	   27.74	  -14.69	 5.2315
 18805	060.44222101	+09.99801378	    5.26	   -0.72	 5.6792
 18859	060.65273617	-00.26831082	  149.04	 -253.02	 5.4938
 18907	060.78907039	+05.98930896	    4.72	   -3.78	 3.9203
 18926	060.85311420	-20.14379274	    0.02	   -1.50	 6.4071
 18957	060.93584947	+05.43563754	    2.18	   -5.56	 5.2951
 18975	060.98543796	+08.19720126	  164.97	   26.62	 5.5359
 18993	061.04078220	+02.82725253	  150.34	 -125.04	 5.4651
 19009	061.09030697	+24.10602645	   -0.54	  -14.08	 5.6092
 19011	061.09461004	-12.79233894	   16.15	   17.67	 5.7850
 19018	061.11318186	+59.15550831	   -3.01	    0.02	 5.1313
 19037	061.17038311	-20.38183062	   17.17	  -12.74	 6.2887
 19038	061.17357438	+22.08206796	   90.53	  -59.47	 4.5241
 19076	061.33395640	+22.00922152	  172.47	 -131.27	 6.0399
 19095	061.40543299	-27.65203663	  200.49	   94.24	 5.6665
 19121	061.48538983	-08.85608356	   25.52	   -9.29	 6.2949
 19129	061.51321004	+68.67996528	    7.66	    3.01	 5.9956
 19167	061.64606355	+50.35135041	  -12.75	  -35.60	 4.2801
 19171	061.65165818	+27.60002490	   21.88	  -52.34	 5.1397
 19172	061.65242808	+54.00888428	   54.33	  -90.30	 6.4720
 19177	061.66171964	+65.52085972	   19.99	  -25.67	 6.1945
 19205	061.75215616	+29.00128771	  -91.40	    7.58	 5.2963
 19261	061.92460911	+15.16284297	  127.76	  -23.85	 6.0877
 19284	061.99754736	+17.33992107	    8.04	  -10.24	 6.0288
 19302	062.06442388	+37.72797183	 -100.02	 -196.30	 6.2307
 19335	062.15206272	+38.04022822	  164.10	 -202.60	 5.6343
 19343	062.16530550	+47.71259362	   21.73	  -33.61	 3.9864
 19376	062.25650286	+13.39829846	   16.29	   -7.07	 5.9604
 19388	062.29125193	+19.60929369	  107.12	  -32.32	 5.6757
 19398	062.32431770	-16.38587737	   -0.87	    0.63	 5.4008
 19400	062.34233953	+54.82908803	   70.91	  -92.70	 6.3529
 19412	062.36490043	+59.90807580	   -5.17	   -2.52	 6.4589
 19454	062.50093215	+86.62635136	  143.45	  -87.17	 5.9267
 19461	062.51160437	+80.69867413	  -10.44	    2.47	 5.2227
 19483	062.59383281	-06.92382347	    1.55	  -11.95	 5.6074
 19511	062.69890234	-08.81982091	   47.16	    2.60	 5.8656
 19513	062.70783750	+26.48103954	  -28.61	  -35.71	 5.4712
 19515	062.71013759	-41.99374106	  199.08	   70.18	 5.0108
 19525	062.74592478	+33.58681408	   -2.68	   -8.43	 5.8876
 19554	062.83414883	+05.52303522	  146.56	    5.83	 5.7917
 19571	062.90073100	-20.35627808	   45.78	   49.57	 5.8498
 19587	062.96638849	-06.83777866	   10.76	   81.92	 4.1285
 19641	063.13051943	+17.27750726	   49.81	  -21.00	 6.2594
 19672	063.21352988	+22.41348357	   -2.31	  -10.20	 6.1989
 19673	063.21614640	+68.50113289	  -32.71	    7.34	 6.4968
 19719	063.38794258	+07.71603390	   -3.17	    1.75	 5.3736
 19720	063.39397684	+10.21251870	   21.49	  -25.44	 6.2556
 19721	063.39880409	-40.35783877	   10.15	   31.36	 6.4991
 19725	063.40894185	-01.14972554	    2.17	   -6.34	 6.4093
 19730	063.43669577	+72.12623017	    8.51	  -32.96	 6.2131
 19736	063.45762538	+12.75374150	   14.91	  -14.21	 6.4140
 19740	063.48496212	+09.26389875	  -10.31	  -30.01	 4.9876
 19747	063.50033879	-42.29387282	   42.02	 -203.55	 4.0124
 19777	063.59872200	-10.25588864	   -7.19	 -161.05	 5.0352
 19780	063.60596318	-62.47397892	   41.97	   49.42	 3.4953
 19799	063.65099153	+10.01143879	   -8.82	  -14.49	 5.1932
 19805	063.70228805	-62.19204943	   -2.68	   97.82	 5.6109
 19810	063.71697303	+37.54268050	   -7.46	   -3.42	 6.4708
 19811	063.72212554	+40.48372492	   13.50	  -20.50	 4.8418
 19812	063.72440699	+48.40937310	    5.52	  -17.37	 4.2870
 19823	063.75749342	+57.46036290	   -3.16	    0.71	 6.1911
 19849	063.82349253	-07.64455857	-2240.12	-3420.27	 4.5615
 19859	063.87027004	+06.18712124	 -109.46	 -108.25	 6.4375
 19860	063.88352159	+08.89240998	   19.46	  -22.11	 4.2656
 19877	063.94256020	+15.40074857	  115.76	  -21.72	 6.4024
 19893	064.00621426	-51.48709571	  100.79	  183.32	 4.3338
 19917	064.08717845	-60.94854289	   42.32	   26.68	 6.3786
 19921	064.12118135	-59.30174863	  -47.53	 -167.58	 4.5977
 19949	064.17960425	+53.61180338	  -18.25	   -2.10	 5.2217
 19968	064.22311688	+61.85004123	    7.08	  -20.42	 5.6562
 19983	064.28363442	+57.86047670	   23.73	  -49.37	 5.8866
 19990	064.31535877	+20.57874054	  -39.41	  -60.79	 4.9992
 19996	064.33012938	-06.47215996	  -15.16	   -6.55	 6.1182
 20020	064.41777147	-63.25549179	    5.26	   35.26	 5.8569
 20042	064.47341050	-33.79833154	   62.52	   -7.24	 3.5167
 20049	064.49656928	-80.21418072	   27.53	   61.56	 5.8246
 20063	064.53371960	+42.14124606	   22.85	  -36.42	 6.1997
 20070	064.56073093	+50.29563946	   45.42	  -56.72	 4.6223
 20075	064.56697492	-20.71530609	    5.10	   19.85	 5.9987
 20087	064.59642306	+21.57937937	   94.87	  -34.89	 5.7131
 20106	064.65608036	-22.96982862	   51.22	   44.74	 6.1616
 20109	064.66658693	-52.86027494	   45.76	   72.29	 6.1838
 20138	064.76204094	-33.90462808	   -1.39	    4.00	 6.4081
 20156	064.80492571	+50.04883762	   61.72	  -59.25	 5.5259
 20161	064.81935492	-44.26783034	   62.94	  -36.36	 5.4937
 20171	064.85866176	+21.14241073	   29.69	  -41.99	 5.4789
 20186	064.90286194	+21.77359172	   28.63	  -41.13	 5.3085
 20188	064.90594418	+10.12153591	  -17.91	  -40.43	 6.4403
 20205	064.94805797	+15.62770010	  115.46	  -23.42	 3.8123
 20219	064.99014550	+14.03524961	  114.13	  -20.45	 5.6514
 20231	065.04145145	+31.95320688	   -1.99	  -13.13	 6.2724
 20234	065.04796753	+50.92095146	    1.19	   -7.52	 5.5458
 20241	065.06007207	+41.80815310	   15.44	  -36.04	 6.1173
 20250	065.08847827	+27.35094051	  -28.90	  -78.28	 5.1121
 20252	065.10273353	+34.56674246	  -25.06	   -7.07	 5.0895
 20255	065.10431585	+18.74272555	  118.91	  -48.36	 6.1934
 20261	065.15102026	+15.09550354	  108.58	  -21.46	 5.3233
 20263	065.16078257	-06.24585949	   92.30	  -55.82	 6.2980
 20264	065.16248795	-20.63959904	   25.86	   -9.93	 5.3834
 20266	065.16818699	+65.14045285	  -28.35	   -4.98	 5.4102
 20268	065.17188968	+06.13090666	  -14.54	  -44.69	 5.9213
 20271	065.17846601	-07.59249105	    3.10	   -2.35	 5.8129
 20284	065.21940640	+13.86447076	  104.25	  -18.07	 6.2566
 20297	065.24179795	-81.58022665	    9.30	  125.86	 5.8633
 20341	065.36270862	-00.09786667	  -19.90	 -126.18	 6.0066
 20347	065.38038085	-25.72845762	   30.08	  -48.82	 6.1666
 20354	065.38811903	+46.49896266	   20.06	  -35.45	 4.8094
 20360	065.40629547	-06.28413846	    3.44	  -14.47	 6.4696
 20376	065.44826277	+60.73590150	   55.55	 -114.56	 5.5234
 20380	065.46592188	+56.50630012	  -13.98	    6.72	 5.9568
 20384	065.47173218	-63.38681532	   85.56	  174.62	 5.4000
 20400	065.51437386	+14.07725046	  113.18	  -21.93	 5.7967
 20417	065.59471257	+20.82141891	   -1.80	   -0.55	 5.9458
 20430	065.64554318	+25.62935778	   19.42	  -17.16	 5.3693
 20455	065.73344726	+17.54258445	  106.56	  -29.18	 3.9308
 20456	065.74128243	+59.61628949	   35.02	  -44.83	 6.2180
 20465	065.77358739	-24.89211889	   19.21	  -15.11	 5.9373
 20484	065.85415961	+16.77732704	  104.56	  -28.28	 5.7146
 20493	065.88482034	+20.98213001	   15.51	  -34.98	 6.0145
 20498	065.89916276	+42.42799192	   20.83	  -35.46	 6.2385
 20507	065.92033496	-03.74533240	  -47.36	  -54.91	 5.2039
 20522	065.96598977	+09.46098346	  -20.32	   -5.32	 5.1430
 20533	065.99899535	+24.30102341	    5.61	  -13.78	 6.4000
 20535	066.00902221	-34.01698620	   73.77	   56.70	 4.0941
 20542	066.02372383	+17.44421156	  108.16	  -34.66	 4.8526
 20552	066.05133105	-57.07115683	 -105.12	  -75.61	 6.4102
 20579	066.12141969	+34.13084082	   20.95	  -34.02	 5.7192
 20591	066.15593379	+33.95988857	   56.28	  -82.26	 5.8454
 20614	066.23774881	+19.04209239	  109.70	  -34.50	 6.0632
 20619	066.27233402	-61.23824635	  -18.89	   22.35	 6.0602
 20630	066.32957225	-44.16105658	   27.07	   65.49	 6.4791
 20635	066.34207830	+22.29398101	  105.10	  -45.04	 4.2573
 20641	066.35393597	+22.20011252	  111.97	  -47.71	 5.3388
 20648	066.37215595	+17.92798892	  107.60	  -34.54	 4.3212
 20698	066.50556322	+04.37348963	   21.71	  -16.27	 6.4418
 20704	066.52607238	+31.43920658	   76.79	 -121.57	 5.4506
 20711	066.57664507	+22.81369389	  108.81	  -46.80	 4.3556
 20713	066.58613202	+15.61834634	  114.31	  -32.19	 4.5524
 20715	066.58791996	+08.59028181	    2.65	   -6.17	 6.0670
 20732	066.65156945	+14.71385769	   -9.52	  -31.44	 4.8523
 20765	066.73722603	-24.08128815	   -5.80	  -13.32	 6.1569
 20771	066.75273049	+02.07955935	   74.22	  -62.16	 6.3972
 20772	066.75360117	+57.58533026	    7.38	  -16.35	 6.3074
 20776	066.76206175	+80.82421014	   12.19	  -20.60	 5.5849
 20781	066.77465439	-46.94683551	   66.62	 -275.53	 6.2083
 20789	066.82269910	+22.99636882	   -0.71	  -14.46	 5.4969
 20804	066.86987539	+11.21233164	   -1.04	  -12.06	 5.8946
 20825	066.94184562	-62.52121440	  -11.48	    4.52	 5.9026
 20842	067.00300695	+21.62000581	   97.93	  -41.70	 5.7887
 20848	067.01508848	+01.85858159	   27.09	    7.78	 6.3078
 20860	067.05539687	+83.80776277	   -4.14	   11.50	 5.4794
 20873	067.09723562	+14.74102616	  109.51	  -20.48	 5.9812
 20877	067.10985511	+16.35962899	    7.91	   18.14	 5.1264
 20884	067.13378865	+01.38087386	   17.81	  -21.50	 5.5040
 20885	067.14346811	+15.96221720	  104.97	  -15.14	 4.0043
 20889	067.15388847	+19.18052103	  106.19	  -37.84	 3.6992
 20892	067.16256032	-19.45859807	   36.72	 -113.30	 6.1135
