#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-28T14:15:53 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-28T14:15:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&-out=HIP,B-V&-out.max=15000&Vmag=&lt;6.5&-out.form=tsv	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	B-V
 20376	 1.497
 20380	 0.112
 20384	 0.955
 20400	 0.315
 20417	 1.660
 20430	-0.041
 20455	 0.983
 20456	 0.108
 20465	 1.507
 20467	 1.242
 20484	 0.310
 20493	 0.029
 20498	 0.023
 20507	 0.072
 20522	 0.074
 20533	 0.173
 20535	 1.468
 20542	 0.154
 20552	 0.659
 20558	 1.408
 20579	-0.054
 20591	 0.400
 20614	 0.378
 20619	 1.533
 20630	 0.457
 20635	 0.136
 20641	 0.250
 20648	 0.049
 20661	 0.509
 20698	 1.078
 20704	 0.986
 20711	 0.263
 20713	 0.262
 20715	-0.010
 20732	 0.979
 20765	 0.143
 20771	 1.087
 20772	 0.063
 20776	 1.179
 20781	 0.470
 20789	-0.098
 20804	 0.049
 20825	 1.005
 20842	 0.270
 20848	 1.018
 20856	 1.614
 20860	-0.106
 20873	 0.325
 20877	 1.137
 20884	-0.099
 20885	 0.952
 20889	 1.014
 20892	 1.215
 20894	 0.179
 20901	 0.215
 20904	 0.547
 20922	-0.202
 20934	 1.062
 20982	 0.855
 20985	 1.038
 20995	 0.324
 20997	 1.001
 21029	 0.170
 21036	 0.263
 21038	-0.026
 21039	 0.258
 21042	 1.005
 21060	-0.194
 21082	 1.725
 21108	 0.009
 21110	 0.086
 21137	 0.338
 21139	 1.320
 21144	 1.089
 21148	 0.119
 21152	 0.420
 21192	-0.117
 21239	 1.379
 21242	 0.370
 21247	 0.306
 21248	 0.972
 21251	 0.077
 21253	 1.028
 21269	 1.061
 21273	 0.255
 21278	-0.128
 21281	-0.079
 21295	 0.055
 21296	 1.708
 21297	 1.465
 21298	 1.384
 21323	-0.048
 21324	 1.137
 21363	 1.174
 21393	 0.957
 21402	 0.184
 21408	 0.754
 21421	 1.538
 21428	-0.100
 21444	-0.210
 21452	-0.009
 21459	 0.380
 21476	 1.171
 21479	 1.500
 21486	-0.095
 21515	-0.107
 21517	 0.810
 21525	 0.167
 21547	 0.283
 21588	 0.312
 21589	 0.122
 21594	 1.082
 21604	-0.019
 21611	 1.080
 21644	 0.074
 21666	 1.321
 21670	 0.257
 21673	 0.141
 21683	 0.147
 21685	 1.054
 21689	 0.176
 21718	 0.943
 21727	 1.079
 21730	 0.331
 21735	-0.121
 21743	 0.926
 21763	 1.599
 21770	 0.342
 21819	 0.018
 21823	 0.002
 21847	 0.593
 21861	 0.391
 21881	-0.112
 21914	 0.977
 21928	 0.028
 21949	-0.114
 21958	 1.391
 21961	 0.544
 21972	 0.013
 21986	 0.645
 21998	 1.468
 22003	 0.311
 22024	-0.076
 22028	 0.025
 22034	 0.040
 22040	 0.206
 22044	 0.251
 22081	 1.077
 22086	 1.476
 22109	-0.148
 22128	 0.058
 22144	 1.065
 22152	 0.512
 22157	 0.197
 22176	 1.221
 22189	 0.041
 22192	 0.189
 22220	 0.934
 22263	 0.632
 22280	 1.071
 22287	 0.246
 22300	 0.320
 22325	 0.537
 22336	 0.631
 22354	 1.200
 22361	 0.283
 22393	 1.132
 22407	 0.250
 22439	 0.456
 22441	 1.551
 22449	 0.484
 22453	 1.447
 22479	 0.992
 22488	 0.408
 22508	-0.069
 22509	 0.010
 22531	 0.341
 22534	 0.483
 22545	 1.013
 22549	-0.157
 22565	 0.214
 22573	 0.105
 22597	 0.060
 22607	 0.502
 22626	 1.559
 22667	 1.773
 22678	 1.414
 22697	 0.368
 22699	 0.115
 22701	 0.257
 22717	 0.521
 22720	 0.068
 22730	 1.632
 22737	 1.640
 22783	-0.008
 22797	-0.179
 22833	 0.121
 22834	 1.214
 22840	-0.116
 22842	-0.032
 22844	 0.442
 22845	 0.085
 22847	 1.423
 22850	 0.292
 22854	 0.015
 22860	 0.953
 22871	 1.518
 22881	 0.874
 22913	-0.085
 22936	 0.105
 22938	 0.415
 22949	 0.351
 22955	 0.352
 22957	 1.158
 22958	-0.123
 23015	 1.490
 23041	 0.423
 23040	-0.017
 23043	 1.304
 23060	-0.202
 23068	 1.109
 23088	 0.018
 23092	 0.110
 23123	 1.369
 23148	 0.932
 23161	 0.156
 23166	 0.447
 23179	 0.037
 23216	 1.462
 23221	 0.797
 23231	 0.267
 23251	 1.517
 23261	 0.415
 23265	 1.304
 23268	 1.677
 23296	 0.293
 23311	 1.049
 23362	-0.047
 23364	-0.164
 23377	 0.893
 23380	 0.448
 23408	 1.267
 23416	 0.537
 23419	-0.050
 23430	 1.056
 23442	 1.562
 23446	 1.170
 23453	 1.154
 23467	 0.996
 23474	 1.188
 23475	 1.212
 23482	 0.421
 23484	 0.509
 23497	 0.155
 23511	 0.188
 23522	 0.921
 23551	-0.187
 23554	 0.094
 23555	 0.528
 23582	 1.609
 23583	 1.208
 23589	 1.324
 23595	 1.177
 23596	 0.311
 23607	-0.064
 23617	 0.018
 23643	-0.117
 23649	 1.484
 23653	 1.554
 23668	 1.166
 23680	 3.332
 23685	 1.460
 23693	 0.526
 23695	 0.219
 23724	 0.184
 23734	-0.080
 23737	 0.010
 23743	 1.112
 23766	 1.380
 23767	-0.148
 23777	-0.030
 23783	 0.343
 23794	-0.059
 23799	 0.444
 23818	 0.648
 23831	 0.606
 23835	 0.657
 23840	 1.646
 23852	 0.625
 23871	 0.118
 23874	 1.617
 23875	 0.161
 23879	 0.338
 23883	 0.168
 23900	 0.030
 23908	 0.889
 23916	-0.059
 23941	 0.455
 23972	-0.187
 23983	 0.249
 24003	 1.101
 24010	 0.313
 24017	 0.448
 24019	 0.311
 24041	 1.098
 24072	 0.720
 24109	 0.452
 24114	 1.246
 24130	 0.984
 24162	 0.462
 24169	 1.350
 24193	 1.752
 24197	 1.525
 24203	 0.662
 24244	-0.099
 24254	-0.108
 24294	 0.960
 24305	-0.110
 24313	 0.032
 24327	-0.094
 24331	 1.166
 24332	 0.542
 24340	 0.189
 24348	 0.204
 24349	 0.421
 24372	 1.274
 24377	 1.463
 24384	 1.392
 24394	 0.377
 24426	 1.009
 24436	-0.030
 24440	-0.011
 24450	 1.369
 24451	 0.084
 24479	 1.179
 24493	 0.401
 24505	-0.067
 24504	 0.222
 24507	 0.150
 24512	 0.075
 24520	 1.213
 24555	-0.012
 24560	 0.670
 24575	 0.199
 24607	-0.015
 24608	 0.795
 24659	 0.987
 24674	-0.115
 24679	 0.932
 24727	 1.252
 24732	-0.023
 24738	 1.492
 24740	-0.043
 24771	 1.386
 24786	 0.572
 24799	-0.167
 24813	 0.630
 24817	 0.412
 24820	 1.020
 24822	 0.937
 24825	-0.134
 24829	 0.517
 24831	-0.022
 24832	 0.256
 24836	-0.031
 24845	-0.235
 24847	-0.105
 24873	-0.104
 24879	 0.287
 24881	 1.331
 24902	 0.122
 24909	 0.318
 24914	 1.728
 24925	-0.047
 24927	-0.048
 24955	 0.921
 24960	 1.041
 24977	 1.229
 24984	 0.039
 25001	 0.060
 25007	-0.176
 25011	-0.089
 25028	-0.125
 25041	-0.114
 25044	-0.168
 25045	 0.662
 25048	-0.129
 25059	 1.206
 25098	-0.091
 25110	 0.506
 25142	-0.096
 25143	 0.127
 25180	 0.505
 25187	-0.037
 25192	-0.040
 25194	 1.626
 25197	-0.011
 25202	-0.219
 25205	 0.123
 25216	 0.141
 25223	-0.208
 25240	 0.483
 25247	 0.943
 25278	 0.544
 25280	-0.001
 25281	-0.240
 25282	 0.961
 25288	-0.145
 25290	 1.251
 25291	 0.034
 25292	 1.445
 25301	 1.645
 25302	-0.200
 25303	 0.067
 25317	 1.195
 25322	 1.738
 25329	 1.543
 25336	-0.224
 25368	-0.162
 25378	-0.178
 25397	 0.441
 25401	-0.047
 25410	-0.084
 25428	-0.130
 25429	 0.986
 25453	-0.023
 25471	 0.138
 25473	-0.199
 25475	 1.152
 25476	 1.453
 25482	 0.346
 25486	 0.553
 25488	 0.239
 25492	 0.175
 25499	-0.090
 25502	 0.083
 25505	 0.965
 25532	 1.032
 25539	-0.140
 25541	 1.400
 25555	 0.015
 25580	 0.510
 25582	-0.173
 25583	 1.634
 25606	 0.807
 25608	 0.026
 25638	 0.168
 25667	-0.007
 25695	-0.042
 25708	 1.149
 25730	 0.476
 25732	 0.251
 25737	 1.592
 25751	-0.192
 25768	 0.615
 25769	 1.704
 25776	-0.003
 25781	 0.225
 25785	 1.280
 25786	-0.194
 25790	 0.103
 25806	 1.180
 25810	 0.986
 25813	-0.143
 25816	 1.112
 25853	 0.012
 25859	 1.130
 25861	-0.176
 25869	-0.178
 25887	 1.349
 25918	 1.130
 25923	-0.261
 25930	-0.175
 25945	 2.060
 25950	-0.004
 25973	 0.587
 25976	 1.553
 25980	-0.188
 25984	 0.281
 25985	 0.211
 25993	 1.224
 26001	 1.039
 26019	 1.085
 26063	-0.175
 26064	-0.022
 26069	 0.640
 26071	 0.170
 26072	-0.034
 26079	 0.550
 26093	-0.118
 26104	 1.116
 26106	-0.160
 26108	 1.535
 26126	 0.051
 26149	 0.997
 26169	 1.717
 26176	-0.157
 26190	 0.845
 26197	-0.228
 26199	-0.248
 26207	-0.160
 26215	 0.149
 26219	 1.120
 26220	
 26221	 0.020
 26234	-0.148
 26235	-0.097
 26237	-0.183
 26241	-0.210
 26248	-0.092
 26263	-0.122
 26264	-0.018
 26268	 0.269
 26291	 1.529
 26300	 1.159
 26309	 0.151
 26311	-0.184
 26315	 0.295
 26344	 1.671
 26345	-0.212
 26363	 1.032
 26366	 0.951
 26368	-0.052
 26382	 0.237
 26386	 1.592
 26395	 0.051
 26394	 0.600
 26396	-0.075
 26408	 0.006
 26410	 0.231
 26412	 0.322
 26414	-0.170
 26427	-0.210
 26451	-0.148
 26460	 0.486
 26463	 1.306
 26477	-0.029
 26487	-0.061
 26515	-0.047
 26535	-0.216
 26536	 0.450
 26545	-0.078
 26549	-0.190
 26563	 0.139
 26571	 0.980
 26592	 1.000
 26594	-0.098
 26602	-0.095
 26606	 0.144
 26616	 0.066
 26623	-0.107
 26624	 0.294
 26634	-0.120
 26638	 1.606
 26640	-0.150
 26649	 0.913
 26712	 0.037
 26713	-0.194
 26718	 2.088
 26727	-0.199
 26728	-0.127
 26736	-0.197
 26762	 0.311
 26777	-0.125
 26779	 0.840
 26781	-0.081
 26796	-0.040
 26820	 0.320
 26821	-0.136
 26853	 1.194
 26862	 0.023
 26865	 0.080
 26866	 1.376
 26868	-0.032
 26882	 1.249
 26885	 1.144
 26926	 0.447
 26942	 0.951
 26953	 1.467
 26964	-0.071
 26966	-0.014
 26981	 0.377
 27001	 0.295
 27046	 0.902
 27072	 0.481
 27075	 0.580
 27100	 0.217
 27116	 0.234
 27118	 0.320
 27196	 0.030
 27204	-0.274
 27212	 1.050
 27243	 1.040
 27249	 0.164
 27253	 0.773
 27265	-0.061
 27280	 0.888
 27288	 0.104
 27293	 0.898
 27303	-0.132
 27308	 0.892
 27316	 0.077
 27317	 1.406
 27319	 1.354
 27321	 0.171
 27325	 1.191
 27338	 0.301
 27341	 0.135
 27346	 1.010
 27353	 1.193
 27364	-0.156
 27366	-0.168
 27386	 0.234
 27421	-0.051
 27435	 0.639
 27468	 1.021
 27472	 0.128
 27483	 0.949
 27511	-0.068
 27512	 1.262
 27517	 0.870
 27530	 1.075
 27533	 0.055
 27534	-0.128
 27549	 0.876
 27560	 1.361
 27566	-0.076
 27583	 0.746
 27581	 1.006
 27588	 0.953
 27621	 0.960
 27625	 1.047
 27628	 1.146
 27629	 0.978
 27639	 1.621
 27654	 0.984
 27658	-0.195
 27660	 0.866
 27661	 1.752
 27670	 1.020
 27673	 1.132
 27705	 1.473
 27713	 0.100
 27731	-0.036
 27737	 0.656
 27743	-0.053
 27747	 0.549
 27750	 1.382
 27766	 1.046
 27777	 0.098
 27778	 1.579
 27795	 0.955
 27810	-0.154
 27830	-0.008
 27890	 1.022
 27900	 1.404
 27901	 0.370
 27902	 1.283
 27913	 0.594
 27937	-0.148
 27938	 1.523
 27939	 1.328
 27947	 0.295
 27949	 0.052
 27955	 1.515
 27965	-0.145
 27971	 0.010
 27973	 0.144
 27989	 1.500
 28010	 1.102
 28011	 1.173
 28019	 0.056
 28085	 1.107
 28098	 0.382
 28103	 0.337
 28110	-0.038
 28117	 0.275
 28118	 1.068
 28138	 1.070
 28139	 1.111
 28154	 0.346
 28180	 1.480
 28199	-0.165
 28205	 1.369
 28232	 1.461
 28237	-0.088
 28252	 1.140
 28271	 0.223
 28287	 1.061
 28296	 0.009
 28302	 0.874
 28321	 0.333
 28325	 0.189
 28328	 1.146
 28343	 1.194
 28358	 1.010
 28360	 0.077
 28380	-0.083
 28385	 0.318
 28390	 1.197
 28404	 1.701
 28413	 1.202
 28434	 0.358
 28438	 1.128
 28484	 0.207
 28499	-0.007
 28500	 0.218
 28517	 0.095
 28520	 0.027
 28524	 1.580
 28532	 1.564
 28561	-0.071
 28562	 1.437
 28574	-0.128
 28596	 1.508
 28614	 0.170
 28622	 0.947
 28634	 0.567
 28637	-0.033
 28642	 1.205
 28644	 0.456
 28675	 1.335
 28677	 0.979
 28686	-0.035
 28691	-0.097
 28716	 0.236
 28734	 0.835
 28744	-0.066
 28756	-0.186
 28764	 0.517
 28765	 0.196
 28790	 0.493
 28812	 1.047
 28814	 1.041
 28816	 0.196
 28820	 0.825
 28823	 0.358
 28829	 1.116
 28831	 1.512
 28854	 0.374
 28855	 0.027
 28861	-0.079
 28899	 0.041
 28908	 0.600
 28910	 0.046
 28909	-0.024
 28930	 1.730
 28943	 0.064
 28946	 0.251
 28949	-0.122
 28951	 1.011
 28957	 0.246
 28984	 1.584
 28988	 1.162
 28991	 1.256
 28992	-0.137
 29025	 1.202
 29034	-0.095
 29038	-0.164
 29048	 1.661
 29064	 0.007
 29114	 1.044
 29129	-0.135
 29134	-0.072
 29140	 0.876
 29150	-0.010
 29151	 0.067
 29178	-0.040
 29185	 0.502
 29196	 1.626
 29205	 1.150
 29210	 0.352
 29225	 0.192
 29233	 1.010
 29234	 0.454
 29246	 1.096
 29263	 1.665
 29271	 0.714
 29276	-0.229
 29294	 1.072
 29304	-0.012
 29323	 0.010
 29326	 1.350
 29348	 1.698
 29347	-0.021
 29353	 1.599
 29371	 0.021
 29379	 1.110
 29388	 0.100
 29401	-0.079
 29404	 0.141
 29417	-0.201
 29426	-0.180
 29433	-0.071
 29434	-0.149
 29451	 1.646
 29490	 1.344
 29509	 1.621
 29525	 0.663
 29568	 0.713
 29569	 1.051
 29575	 0.910
 29616	 0.253
 29629	-0.155
 29650	 0.430
 29651	 1.319
 29655	 1.600
 29679	 1.322
 29678	-0.231
 29692	 1.058
 29696	 1.021
 29704	-0.101
 29705	-0.081
 29711	 0.097
 29716	 0.506
 29728	-0.124
 29730	 1.339
 29735	-0.078
 29736	 0.015
 29746	 0.443
 29771	-0.167
 29788	 0.593
 29789	 0.897
 29798	 1.565
 29800	 0.431
 29807	 0.978
 29808	 0.163
 29840	 0.446
 29842	 1.129
 29843	 0.576
 29850	 0.106
 29852	 0.139
 29860	 0.610
 29895	 1.293
 29913	 1.456
 29919	 1.843
 29931	 0.035
 29941	-0.163
 29949	 1.113
 29982	 0.870
 29993	 1.663
 29996	 1.239
 29997	 0.025
 30011	-0.155
 30019	-0.094
 30028	-0.043
 30060	 0.032
 30062	 1.473
 30069	-0.080
 30073	-0.177
 30093	 1.613
 30099	 1.578
 30122	-0.160
 30141	 1.132
 30143	-0.182
 30190	 1.676
 30200	 0.048
 30214	 0.002
 30217	 0.251
 30218	 1.100
 30247	 0.448
 30272	 0.153
 30277	 0.858
 30318	 0.319
 30321	 1.510
 30324	-0.240
 30342	 0.242
 30343	 1.621
 30352	 1.612
 30357	 1.075
 30376	 0.893
 30382	-0.149
 30407	 1.841
 30419	 0.215
 30420	 1.534
 30423	 0.120
 30436	 1.561
 30438	 0.164
 30444	 1.027
 30448	-0.060
 30457	 1.230
 30463	-0.001
 30468	-0.076
 30480	 0.660
 30501	 1.210
 30503	 0.626
 30505	-0.049
 30517	 1.063
 30520	 1.905
 30524	-0.119
 30541	 0.850
 30545	 0.564
 30564	 2.349
 30565	 0.971
 30566	 1.353
 30570	 0.020
 30591	-0.061
 30595	 1.018
 30602	 0.077
 30608	 0.145
 30627	 1.039
 30651	 0.238
 30660	-0.151
 30666	 0.070
 30669	 1.242
 30675	-0.061
 30679	 1.538
 30703	 1.279
 30706	 0.394
 30711	 0.545
 30717	 1.186
 30720	 1.376
 30728	 1.035
 30741	 1.264
 30769	 0.041
 30772	-0.175
 30788	-0.169
 30794	 0.103
 30798	-0.064
 30804	 1.150
 30815	 0.894
 30827	 0.779
 30836	 1.118
 30840	-0.160
 30849	 0.390
 30867	-0.113
 30883	-0.115
 30906	 1.539
 30932	 1.087
 30953	 0.371
 30972	 1.448
 30973	 0.329
 30986	 1.373
 30988	 1.683
 31024	-0.137
 31037	-0.156
 31039	 0.934
 31056	 1.398
 31066	-0.116
 31067	
 31068	-0.147
 31072	 0.813
 31079	 0.534
 31084	 1.262
 31086	 1.665
 31099	 1.599
 31105	 0.275
 31119	 0.185
 31121	 1.373
 31125	-0.245
 31137	-0.057
 31158	 0.541
 31159	 0.997
 31165	 0.982
 31167	 0.256
 31168	 1.069
 31173	 0.188
 31190	-0.180
 31205	 1.096
 31216	 0.023
 31241	 0.999
 31265	 1.088
 31266	 0.817
 31277	 1.105
 31278	-0.132
 31299	 1.419
 31359	 1.554
 31362	-0.085
 31385	-0.010
 31407	-0.021
 31416	-0.035
 31434	-0.008
 31446	 0.004
 31448	 1.508
 31457	-0.130
 31469	 1.030
 31509	 0.486
 31564	 0.848
 31579	 2.773
 31583	-0.082
 31592	 1.037
 31593	-0.117
 31599	 1.562
 31603	 1.147
 31617	 1.030
 31637	-0.112
 31646	 0.018
 31650	 0.101
 31662	 1.351
 31665	 0.006
 31672	 1.080
 31674	 0.994
 31676	 0.899
 31681	 0.001
 31685	-0.103
 31688	 1.177
 31697	 0.091
 31700	 1.137
 31703	 0.396
 31711	 0.624
 31733	 1.470
 31736	 0.664
 31737	-0.001
 31758	 0.042
 31765	 0.997
 31766	 0.086
 31771	 1.367
 31789	-0.075
 31813	 1.027
 31827	 1.459
 31832	 1.236
 31850	 0.523
 31852	-0.087
 31859	-0.031
 31870	 1.134
 31876	 0.063
 31889	 1.222
 31897	 0.214
 31940	 1.488
 31946	 1.223
 31978	-0.233
 31992	-0.094
 32007	-0.146
 32012	 1.675
 32019	 1.090
 32020	-0.016
 32040	 0.509
 32064	 1.525
 32067	-0.084
 32091	 0.346
 32104	 0.063
 32144	 0.321
 32173	 1.479
 32177	 1.366
 32190	 1.026
 32208	 0.258
 32222	 0.960
 32226	-0.046
 32246	 1.377
 32249	 1.167
 32261	 1.089
 32268	 0.065
 32269	-0.119
 32292	-0.127
 32311	 1.445
 32322	 0.550
 32332	 1.335
 32349	 0.009
 32362	 0.443
 32366	 0.491
 32368	 1.205
 32385	-0.138
 32402	 1.551
 32404	 0.344
 32411	 0.075
 32434	-0.123
 32438	 0.084
 32439	 0.525
 32463	-0.173
 32474	-0.048
 32477	 0.858
 32480	 0.575
 32489	 0.964
 32492	-0.024
 32494	 1.330
 32500	 0.429
 32504	-0.159
 32531	 1.549
 32533	 1.396
 32537	-0.078
 32539	 0.066
 32558	 1.795
 32562	 1.131
 32578	 1.099
 32607	 0.225
 32609	
 32617	 0.292
 32677	-0.096
 32682	-0.134
 32698	-0.098
 32740	 1.298
 32744	 0.054
 32746	 1.553
 32753	-0.136
 32759	-0.116
 32761	 0.899
 32765	 0.460
 32768	 1.207
 32775	 0.457
 32809	 1.435
 32810	 0.094
 32814	 1.329
 32827	-0.183
 32838	 0.011
 32844	 1.256
 32851	 0.396
 32855	 1.379
 32864	-0.152
 32912	-0.110
 32918	 1.207
 32921	-0.020
 32931	 0.052
 32938	 0.183
 32968	 1.467
 32990	 0.977
 33012	 0.181
 33015	-0.101
 33018	 0.102
 33024	 0.270
 33040	 1.408
 33041	 0.406
 33044	 1.455
 33048	 0.675
 33056	 0.239
 33064	 0.516
 33077	 0.279
 33079	 0.156
 33082	 0.962
 33092	-0.212
 33094	 0.708
 33104	-0.114
 33126	 0.016
 33133	-0.044
 33139	 0.988
 33152	 1.740
 33154	 0.174
 33160	 1.418
 33184	 0.167
 33189	 2.287
 33202	 0.321
 33210	 0.487
 33243	 1.102
 33248	 0.048
 33269	 0.314
 33271	 0.945
 33277	 0.573
 33297	 0.037
 33302	 0.374
 33316	-0.163
 33330	-0.155
 33345	 1.182
 33347	-0.063
 33357	 1.668
 33372	-0.085
 33377	-0.079
 33384	 0.041
 33394	 1.278
 33415	 1.093
 33420	 0.641
 33421	 0.878
 33444	 1.495
 33449	 0.850
 33451	 0.465
 33453	 1.673
 33465	 0.349
 33478	 0.390
 33485	 0.027
 33492	-0.147
 33532	-0.186
 33558	-0.154
 33575	-0.162
 33577	 0.389
 33579	-0.211
 33584	 0.105
 33588	 1.160
 33590	-0.006
 33591	-0.137
 33595	 0.520
 33603	 1.056
 33614	 1.218
 33644	-0.106
 33650	-0.111
 33666	-0.164
 33682	 1.396
 33694	 1.365
 33703	-0.134
 33715	 1.641
 33719	 0.572
 33729	-0.075
 33754	 0.142
 33760	 0.449
 33774	 1.052
 33779	 1.652
 33800	 0.297
 33804	-0.165
 33827	 1.337
 33856	 1.729
 33873	 1.286
 33878	 1.687
 33909	-0.039
 33914	 1.140
 33927	 0.953
 33929	 1.518
 33937	 1.659
 33971	-0.195
 33977	-0.077
 34000	-0.125
 34002	 0.126
 34017	 0.595
 34033	 1.391
 34045	-0.112
 34055	 1.584
 34059	 0.140
 34065	 0.624
 34066	-0.067
 34081	 0.198
 34086	 1.290
 34088	 0.899
 34105	-0.032
 34142	 1.225
 34168	-0.048
 34177	 1.424
 34182	-0.027
 34200	 0.353
 34215	 1.513
 34217	 0.102
 34238	 1.568
 34248	-0.131
 34250	 1.190
 34253	 0.702
 34267	 0.909
 34270	 1.039
 34297	-0.124
 34301	 0.033
 34318	 1.341
 34338	-0.129
 34339	-0.158
 34349	 0.996
 34350	-0.113
 34358	 1.507
 34360	-0.117
 34367	-0.081
 34387	 1.176
 34428	 1.356
 34440	 1.020
 34444	 0.671
 34462	 1.212
 34473	 0.436
 34481	 1.006
 34495	-0.179
 34536	-0.018
 34561	 0.040
 34579	-0.158
 34608	 0.880
 34617	 0.419
 34622	 1.020
 34624	 0.998
 34670	 1.251
 34693	 1.261
 34722	 0.130
 34724	 0.310
 34752	 1.451
 34758	-0.038
 34768	-0.016
 34769	-0.005
 34780	-0.011
 34782	 0.273
 34789	 1.142
 34798	-0.170
 34802	 0.072
 34817	-0.145
 34819	 0.397
 34834	 0.324
 34860	 0.502
 34888	 1.508
 34899	-0.003
 34909	 1.653
 34912	 1.640
 34914	 1.481
 34922	 1.331
 34924	-0.234
 34940	-0.184
 34954	-0.183
 34956	 1.119
 34975	 1.585
 34981	-0.170
 34982	 1.528
 34987	 1.193
 34999	-0.173
 35005	 1.007
 35020	-0.091
 35025	 1.554
 35029	-0.109
 35037	-0.150
 35044	 1.220
 35054	-0.146
 35080	 0.901
 35083	-0.155
 35084	 1.099
 35120	 1.537
 35127	 1.173
 35132	-0.018
 35136	 0.576
 35146	 1.081
 35152	 1.605
 35180	 0.079
 35181	 1.441
 35202	-0.133
 35205	 1.589
 35210	 1.601
 35213	 0.317
 35226	-0.161
 35228	 0.760
 35241	 0.200
 35253	 0.883
 35264	 1.616
 35301	 1.624
 35304	 1.259
 35317	 0.995
 35326	-0.153
 35341	 0.181
 35345	-0.024
 35347	-0.117
 35350	 0.106
 35363	-0.099
 35384	 0.087
 35393	 0.026
 35406	-0.170
 35412	-0.160
 35415	-0.132
 35427	 0.956
 35442	 0.612
 35463	 1.302
 35476	 1.069
 35487	 0.346
 35509	 0.537
 35548	 0.009
 35550	 0.374
 35564	 0.483
 35589	-0.069
 35611	-0.172
 35615	 0.971
 35623	 1.404
 35626	 1.604
 35643	 0.342
 35699	 1.528
 35707	-0.189
 35710	 1.082
 35712	-0.069
 35725	 1.217
 35727	-0.039
 35735	 0.282
 35737	 0.686
 35749	 0.352
 35751	 0.995
 35785	-0.078
 35795	-0.161
 35842	 0.006
 35846	 0.902
 35848	 1.539
 35855	-0.169
 35893	-0.136
 35904	-0.083
 35907	 1.249
 35920	-0.088
 35933	-0.190
 35941	 0.368
 35946	 0.120
 35951	-0.035
 35957	 1.071
 35960	 0.261
 35975	 0.291
 35984	 1.610
 35987	 0.105
 35998	 0.432
 36017	 0.227
 36019	-0.031
 36024	-0.103
 36039	 1.281
 36041	 0.991
 36045	-0.176
 36046	 1.024
 36055	 0.901
 36114	 1.038
 36123	 0.078
 36141	-0.126
 36143	-0.153
 36145	-0.001
 36156	 0.336
 36168	-0.134
 36186	 0.314
 36188	-0.097
 36211	-0.064
 36236	-0.088
 36238	 0.455
 36251	 0.583
 36258	-0.048
 36264	 1.513
 36265	 0.221
 36284	 1.425
 36325	 1.223
 36340	-0.040
 36345	-0.156
 36346	 1.554
 36348	-0.092
 36351	 1.202
 36362	-0.185
 36363	-0.148
 36366	 0.320
 36377	 1.509
 36388	 1.493
 36393	 0.120
 36395	 0.479
 36396	 1.616
 36399	 0.487
 36425	 1.276
 36429	 1.117
 36431	 0.243
 36439	 0.470
 36444	 1.010
 36496	 1.585
 36514	 0.904
 36526	 1.185
 36528	 1.100
 36547	 1.633
 36553	 1.278
 36616	 1.126
 36640	 0.540
 36641	 0.230
 36657	-0.096
 36721	 0.156
 36723	 0.321
 36728	-0.129
 36732	 1.121
 36736	-0.061
 36740	 1.231
 36760	 0.055
 36773	 1.362
 36778	-0.078
 36779	 1.348
 36795	 0.521
 36796	 0.022
 36807	 0.297
 36812	-0.018
 36817	 0.468
 36848	 1.045
 36850	 0.034
 36856	 0.073
 36896	 1.010
 36914	 0.016
 36917	-0.111
 36942	 1.373
 36962	 1.540
 36965	 0.364
 36977	 1.182
 36981	-0.067
 36986	 0.968
 37000	 1.541
 37023	 1.560
 37031	 0.602
 37036	-0.165
 37043	-0.037
 37046	 1.123
 37088	 0.442
 37089	 0.540
 37091	 1.600
 37096	-0.081
 37128	 1.472
 37140	 0.221
 37165	 0.337
 37173	-0.100
 37174	 0.683
 37202	 1.015
 37204	 0.921
